web-scraper-order,web-scraper-start-url,Rank,Player Name,Team,Digs,Errors,Receptions,Average Per Match,Success,Total
"1741349236-134","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Dola","EGY","0","1","0","0.00","0.00","1"
"1741349236-135","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Palonsky","ARG","0","4","4","0.00","0.00","8"
"1741349236-136","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Sanchez Pages","ARG","0","1","0","0.00","0.00","1"
"1741349236-137","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Jendryk","USA","0","0","0","","","0"
"1741349236-138","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Ma'a","USA","0","0","0","","","0"
"1741349236-139","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Smith","USA","0","0","0","","","0"
"1741349236-140","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Perić","SRB","0","0","0","","","0"
"1741349236-141","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Tillie","FRA","0","0","0","","","0"
"1741349236-142","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Hofer","CAN","0","2","0","0.00","0.00","2"
"1741349236-143","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Vinčić","SLO","0","0","0","","","0"
"1741349236-144","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Z. Štern","SLO","0","0","0","","","0"
"1741349236-145","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Mujanović","SLO","0","0","0","","","0"
"1741349236-146","https://en.volleyballworld.com/volleyball/competitions/volleyball-olympic-games-paris-2024/statistics/men/best-diggers/","37","Wassenaar Ketrzynski","CAN","0","0","0","","","0"
